order_id,customer_id,order_datetime,city,restaurant_category,order_value,delivery_fee,delivery_time_min,payment_method,order_status,delivery_type,promo_code_used
ORD100000,CUST2824,2025-05-18 08:50:50.357844,Ajman,Asian,35.2,2.02,24.0,Wallet,Cancelled,Scooter,No
ORD100001,CUST1409,2025-04-04 20:55:50.357873,Dubai,Middle Eastern,225.76,2.75,26.0,Wallet,Cancelled,Car,No
ORD100002,CUST5506,2025-01-03 11:29:50.357882,Dubai,Indian,98.76,5.78,20.0,Apple Pay,Cancelled,Scooter,Yes
ORD100003,CUST5012,2025-02-11 01:45:50.357890,Ajman,Indian,68.47,2.65,21.0,Card,Delivered,Car,Yes
ORD100004,CUST4657,2025-03-01 20:05:50.357899,Ras Al Khaimah,Middle Eastern,12.72,7.23,34.0,Wallet,Delivered,Bike,No
ORD100005,CUST3286,2025-03-01 04:08:50.357908,Sharjah,Middle Eastern,12.72,4.86,31.0,Cash,Failed,Scooter,No
ORD100006,CUST2679,2025-05-31 23:32:50.357916,Dubai,Asian,4.49,5.17,35.0,Card,Delivered,Scooter,No
ORD100007,CUST9935,2025-05-07 11:01:50.357926,Abu Dhabi,Indian,150.84,4.44,32.0,Wallet,Delivered,Car,Yes
ORD100008,CUST2424,2025-02-05 19:07:50.357936,Dubai,Fast Food,68.93,6.55,37.0,Card,Delivered,Car,Yes
ORD100009,CUST7912,2025-03-20 18:23:50.357944,Sharjah,Middle Eastern,92.34,6.57,39.0,Apple Pay,Delivered,Bike,Yes
ORD100010,CUST1520,2025-05-02 18:02:50.357952,Dubai,Middle Eastern,1.56,5.67,13.0,Wallet,Delivered,Car,No
ORD100011,CUST1488,2025-01-29 00:22:50.357960,Abu Dhabi,Indian,262.77,6.13,21.0,Apple Pay,Cancelled,Scooter,Yes
ORD100012,CUST2535,2025-03-24 00:26:50.357967,Sharjah,Middle Eastern,133.98,4.58,28.0,Cash,Delivered,Car,Yes
ORD100013,CUST4582,2025-04-07 07:53:50.357974,Sharjah,Indian,17.9,6.08,30.0,Cash,Delivered,Car,No
ORD100014,CUST4811,2025-05-24 02:14:50.357981,Ras Al Khaimah,Desserts,15.05,4.32,23.0,Wallet,Delivered,Scooter,No
ORD100015,CUST9279,2025-01-09 10:19:50.357987,Ajman,Middle Eastern,15.2,5.0,39.0,Wallet,Delivered,Bike,No
ORD100016,CUST1434,2025-03-11 13:23:50.357993,Abu Dhabi,Middle Eastern,27.21,4.45,50.0,Apple Pay,Delivered,Scooter,Yes
ORD100017,CUST4257,2025-02-06 11:12:50.357999,Abu Dhabi,Indian,55.79,4.09,32.0,Card,Delivered,Car,Yes
ORD100018,CUST9928,2025-03-31 20:46:50.358006,Ras Al Khaimah,Indian,42.42,3.62,31.0,Card,Delivered,Car,Yes
ORD100019,CUST7873,2025-05-10 10:18:50.358012,Abu Dhabi,Healthy,25.82,5.94,38.0,Cash,Delivered,Bike,No
ORD100020,CUST4611,2025-03-21 19:10:50.358018,Dubai,Fast Food,70.98,7.62,11.0,Apple Pay,Delivered,Bike,Yes
ORD100021,CUST8359,2025-01-23 19:11:50.358025,Dubai,Indian,11.27,7.34,30.0,Card,Cancelled,Scooter,No
ORD100022,CUST5557,2025-03-05 12:27:50.358032,Dubai,Fast Food,25.91,2.49,40.0,Apple Pay,Delivered,Scooter,No
ORD100023,CUST1106,2025-01-07 02:02:50.358039,Abu Dhabi,Fast Food,34.22,7.58,24.0,Apple Pay,Delivered,Bike,Yes
ORD100024,CUST3615,2025-03-05 04:27:50.358046,Ras Al Khaimah,Indian,45.67,4.36,18.0,Cash,Delivered,Bike,No
ORD100025,CUST7924,2024-12-27 04:46:50.358070,Ajman,Fast Food,115.35,6.2,28.0,Wallet,Delivered,Bike,Yes
ORD100026,CUST6574,2025-05-30 21:54:50.358077,Sharjah,Desserts,16.71,3.19,29.0,Cash,Cancelled,Car,No
ORD100027,CUST5552,2025-05-29 22:04:50.358084,Ras Al Khaimah,Fast Food,54.15,5.28,21.0,Wallet,Delivered,Bike,Yes
ORD100028,CUST3547,2025-06-20 04:46:50.358090,Ras Al Khaimah,Asian,67.31,5.63,51.0,Wallet,Delivered,Car,No
ORD100029,CUST4527,2025-03-11 21:14:50.358096,Ajman,Healthy,3.57,2.03,25.0,Apple Pay,Cancelled,Bike,Yes
ORD100030,CUST6514,2025-01-16 07:39:50.358102,Sharjah,Asian,70.15,6.22,18.0,Wallet,Cancelled,Car,Yes
ORD100031,CUST2674,2025-01-13 10:13:50.358109,Ajman,Desserts,14.02,7.69,29.0,Cash,Delivered,Scooter,Yes
ORD100032,CUST2519,2025-01-27 23:03:50.358115,Sharjah,Healthy,5.04,4.65,39.0,Cash,Delivered,Car,No
ORD100033,CUST7224,2025-04-11 11:32:50.358123,Abu Dhabi,Indian,223.03,7.72,30.0,Apple Pay,Delivered,Car,Yes
ORD100034,CUST2584,2025-04-28 10:10:50.358130,Ras Al Khaimah,Middle Eastern,252.8,4.62,35.0,Wallet,Delivered,Bike,No
ORD100035,CUST6881,2025-03-19 21:33:50.358137,Ajman,Asian,123.92,6.7,21.0,Cash,Delivered,Scooter,Yes
ORD100036,CUST6635,2025-02-24 21:23:50.358144,Sharjah,Healthy,27.25,0.56,45.0,Wallet,Delivered,Bike,No
ORD100037,CUST5333,2025-02-26 10:47:50.358151,Ras Al Khaimah,Middle Eastern,7.71,9.84,36.0,Apple Pay,Delivered,Car,Yes
ORD100038,CUST1711,2025-01-10 01:55:50.358159,Ajman,Fast Food,86.46,7.99,40.0,Apple Pay,Delivered,Bike,Yes
ORD100039,CUST8527,2025-03-16 00:22:50.358166,Sharjah,Fast Food,43.51,4.43,34.0,Wallet,Delivered,Scooter,Yes
ORD100040,CUST9785,2025-04-28 08:27:50.358172,Sharjah,Indian,9.76,1.06,38.0,Wallet,Delivered,Scooter,No
ORD100041,CUST3045,2025-04-17 03:29:50.358179,Abu Dhabi,Asian,51.27,5.58,21.0,Cash,Delivered,Scooter,No
ORD100042,CUST7201,2025-04-07 11:02:50.358186,Sharjah,Middle Eastern,2.62,2.11,25.0,Apple Pay,Cancelled,Bike,Yes
ORD100043,CUST2291,2025-04-24 23:48:50.358194,Abu Dhabi,Middle Eastern,180.03,5.89,43.0,Wallet,Delivered,Scooter,No
ORD100044,CUST5803,2025-03-10 23:45:50.358201,Ajman,Indian,22.46,5.82,46.0,Apple Pay,Delivered,Car,No
ORD100045,CUST6925,2025-06-18 19:55:50.358207,Ras Al Khaimah,Middle Eastern,81.47,3.12,19.0,Apple Pay,Cancelled,Car,Yes
ORD100046,CUST4150,2025-03-21 07:53:50.358214,Sharjah,Asian,28.02,7.24,32.0,Card,Delivered,Scooter,No
ORD100047,CUST2139,2025-01-22 14:24:50.358220,Abu Dhabi,Desserts,55.06,6.61,26.0,Card,Delivered,Bike,Yes
ORD100048,CUST1750,2025-05-12 06:18:50.358225,Dubai,Indian,59.34,6.95,23.0,Card,Delivered,Bike,Yes
ORD100049,CUST4733,2025-04-24 07:20:50.358232,Sharjah,Healthy,15.33,5.02,33.0,Card,Failed,Car,Yes
ORD100050,CUST5741,2025-05-06 05:04:50.358238,Dubai,Healthy,261.96,2.17,41.0,Wallet,Delivered,Scooter,Yes
ORD100051,CUST2307,2025-03-16 22:54:50.358244,Ajman,Indian,111.92,6.96,35.0,Card,Delivered,Bike,Yes
ORD100052,CUST4814,2025-01-28 11:37:50.358251,Sharjah,Desserts,210.38,4.46,27.0,Cash,Delivered,Car,No
ORD100053,CUST2654,2025-01-13 11:59:50.358259,Dubai,Healthy,168.91,2.22,35.0,Wallet,Delivered,Bike,Yes
ORD100054,CUST7227,2025-05-11 11:48:50.358267,Sharjah,Healthy,68.33,7.7,26.0,Card,Delivered,Car,No
ORD100055,CUST5554,2025-04-04 08:35:50.358274,Abu Dhabi,Desserts,191.21,9.2,34.0,Cash,Returned,Scooter,Yes
ORD100056,CUST8428,2025-03-05 17:39:50.358280,Ajman,Healthy,6.95,4.92,44.0,Cash,Delivered,Scooter,No
ORD100057,CUST6977,2025-05-23 08:38:50.358286,Sharjah,Asian,16.36,9.32,9.0,Apple Pay,Delivered,Car,No
ORD100058,CUST3664,2025-01-14 05:55:50.358293,Dubai,Healthy,3.47,5.18,38.0,Card,Delivered,Car,Yes
ORD100059,CUST7065,2025-03-16 03:47:50.358299,Sharjah,Asian,29.51,4.24,15.0,Cash,Cancelled,Car,Yes
ORD100060,CUST6820,2025-04-19 07:35:50.358305,Dubai,Healthy,36.91,3.74,42.0,Cash,Delivered,Car,No
ORD100061,CUST4432,2025-04-03 18:40:50.358319,Abu Dhabi,Healthy,23.74,8.27,24.0,Cash,Delivered,Car,Yes
ORD100062,CUST5374,2025-06-02 00:18:50.358325,Abu Dhabi,Desserts,132.34,3.44,18.0,Apple Pay,Delivered,Car,Yes
ORD100063,CUST2169,2025-06-22 03:56:50.358332,Ajman,Healthy,33.09,6.47,37.0,Apple Pay,Delivered,Car,Yes
ORD100064,CUST3803,2025-01-24 20:44:50.358339,Ras Al Khaimah,Desserts,24.74,3.88,34.0,Cash,Delivered,Bike,No
ORD100065,CUST9751,2025-01-17 02:11:50.358347,Abu Dhabi,Middle Eastern,58.68,4.08,20.0,Card,Delivered,Bike,No
ORD100066,CUST5010,2025-06-04 06:21:50.358353,Ajman,Middle Eastern,11.39,7.06,17.0,Apple Pay,Delivered,Bike,No
ORD100067,CUST3677,2025-06-18 00:59:50.358360,Ajman,Middle Eastern,121.54,4.24,28.0,Card,Delivered,Bike,Yes
ORD100068,CUST8573,2025-05-22 10:05:50.358366,Ajman,Healthy,5.81,4.19,18.0,Wallet,Delivered,Bike,No
ORD100069,CUST7216,2025-01-14 13:34:50.358373,Ras Al Khaimah,Middle Eastern,325.06,7.27,19.0,Cash,Returned,Car,No
